year,indicator,counts,n_items
2017,facebook,68,4
2012,facebook,69,5
2017,facebook,69,2
2015,facebook,70,7
2017,facebook,70,5
2017,facebook,71,2
2012,facebook,72,2
2013,facebook,72,7
2015,facebook,72,11
2016,facebook,73,3
2013,facebook,75,4
2014,facebook,76,3
2014,facebook,77,3
2015,facebook,79,3
2017,facebook,79,2
2013,facebook,81,3
2017,facebook,84,2
2012,facebook,85,1
2014,facebook,85,1
2016,facebook,85,1
2017,facebook,85,3
2015,facebook,87,2
2015,facebook,88,2
2013,facebook,89,3
2013,facebook,90,3
2016,facebook,91,2
2015,facebook,95,2
2015,facebook,96,4
2015,facebook,98,4
2016,facebook,101,2
2014,facebook,103,2
2017,facebook,104,1
2015,facebook,105,1
2016,facebook,106,1
2013,facebook,107,2
2014,facebook,108,1
2012,facebook,111,4
2014,facebook,112,5
2015,facebook,113,2
2015,facebook,114,1
2013,facebook,115,1
2014,facebook,117,1
2012,facebook,120,1
2015,facebook,122,2
2014,facebook,126,1
2012,facebook,128,1
2015,facebook,128,2
2016,facebook,134,2
2012,facebook,138,1
2013,facebook,139,1
2013,facebook,140,1
2013,facebook,142,3
2016,facebook,142,1
2015,facebook,147,1
2013,facebook,148,1
2015,facebook,153,1
2012,facebook,154,1
2015,facebook,155,2
2013,facebook,156,2
2016,facebook,159,1
2012,facebook,161,1
2017,facebook,163,1
2015,facebook,164,2
2018,facebook,164,1
2014,facebook,167,1
2014,facebook,169,1
2015,facebook,170,1
2015,facebook,172,1
2012,facebook,178,2
2017,facebook,178,1
2016,facebook,182,1
2013,facebook,183,1
2017,facebook,185,1
2014,facebook,186,1
2015,facebook,187,1
2013,facebook,189,1
2016,facebook,193,1
2012,facebook,195,1
2015,facebook,196,1
2013,facebook,199,1
2012,facebook,202,1
2012,facebook,204,2
2015,facebook,204,2
2015,facebook,205,1
2013,facebook,209,2
2016,facebook,210,1
2014,facebook,211,1
2015,facebook,215,1
2013,facebook,222,1
2013,facebook,223,1
2014,facebook,226,1
2013,facebook,242,1
2017,facebook,244,1
2012,facebook,245,1
2015,facebook,246,1
2016,facebook,251,1
2015,facebook,287,1
2014,facebook,302,1
2015,facebook,304,1
2013,facebook,314,2
2015,facebook,329,1
2012,facebook,364,1
2014,facebook,377,1
2018,facebook,397,1
2014,facebook,411,1
2012,facebook,438,1
2012,facebook,448,1
2014,facebook,545,1
2012,facebook,582,1
2013,facebook,599,1
2013,facebook,676,1
2012,facebook,721,1
2014,facebook,903,1
2012,facebook,904,1
2014,facebook,1081,1
